index,NB_COM,IM_TR,CP
0,LA GLORIA SAT              A2,90998.0,78216101&
1,HOME DEPOT                 A8,330900.0,001460
2,00000000000,10000.0,
3,SANBORN S TEATRO           A8,5200.0,003900
4,EL GLOBO PARROQUI          A3,18797.0,003230
5,00010520000,0.0,
6,7 ELEVEN CHECK IN          A8,16200.0,015520
7,00041340000,200000.0,
8,CAFE KRG                   A3,18400.0,006600
9,LIVERPOOL INSURGE          A8,44900.0,003100
10,FANT MIGUEL DEL V          A3,8355.0,003200
11,00015040000,150000.0,
12,00412180000,350000.0,
13,00022950000,200000.0,
14,TRANS VISION BIKE          A5,300000.0,03240
15,5019/COLEGIO AMSTERDAM I,554400.0,
16,CHUCHITO PEREZ CI          A5,60000.0,0000006700
17,GASOL COGASA               A8,73607.0,11590
18,ANFORAMA FELIX CU          A3,16000.0,003100
19,STARBUCKS PATIO S          A8,9800.0,001210
20,SEGBBVABCOMERMU            C0,840416.0,011000
21,CINEPOLIS DULCERI          A5,16800.0,0058270
22,KAMI SUSHI                 A5,73200.0,0000014330
23,COLEGIO AMSTERDAM          C6,582120.0,04240
24,00550610000,30000.0,
25,OXXO VALENCIA              A8,5300.0,003920
26,5019/ITAM MU,1317600.0,
27,GASAVANTO 1                A8,28600.0,03104
28,C,2000.0,
29,00471410000,500000.0,
30,00503230000,0.0,
31,VIPS FELIX CUEVAS          A8,50800.0,003100
32,SUPERCENTER BARRA          A8,96400.0,001010
33,00430450000,200000.0,
34,00087840000,200000.0,
35,EXTRA K PGR COYOA          A8,4200.0,003104
36,7 ELEVEN SANCHEZ           A8,7350.0,003100
37,GDF SRIA DE FINAN          C0,17500.0,006720
38,FISHER S CENTRO            A3,95800.0,0006060
39,Udemy                      C1,27000.0,94107137&
40,0000/AMAZON MX,72764.0,
41,WINGS AS 32                A5,67800.0,0000015520
42,MARTI GALS INSURG          A5,169900.0,0003100
43,VIPS DURANGO               A8,30800.0,006700
44,SEAWORLD-FRONT GA          A5,422618.0,78251389&
45,00551450000,200000.0,
46,SAMS BARRANCA MUE          A8,65830.0,001010
47,IHOP FELIX CUEVAS          A8,57750.0,003100
48,00503240000,30000.0,
49,BURGER KING COPIL          A8,4000.0,004310
50,CK LIEJA                   A8,5200.0,006600
51,HOTEL CASA LAKYUM          A3,40000.0,029960
52,REST PICHANCHAS C          A3,90000.0,029000
53,BELLA SONRISA              A3,75000.0,008500
54,COLEGIO AMSTERDAM          C6,554400.0,04240
55,STARBUCKS TORRE M          A8,3200.0,006500
56,NETFLIX COM 1              C6,19900.0,003800
57,00551440000,200000.0,
58,SAKS TLALPAN REST          A5,150000.0,14090
59,CMX CNA                    A8,17700.0,004210
60,INST TEC AUTO DE           A5,219000.0,0000001080
61,REST CASA ABUELOS          A5,51200.0,0000003910
62,STARBUCKS TLACOQU          A8,10600.0,003200
63,MARTI CITY SHOP V          A5,120650.0,0003200
64,00533150000,200000.0,
65,IZETTLE*RESTS              A3,23100.0,06100
66,CINEPOLIS KIOSCO           A5,22500.0,0058270
67,TOKS DIV DEL NTE           A8,33200.0,003310
68,CAFET MUAC                 A5,64000.0,04510
69,,2600.0,
70,OXXOMERCADO TLACO          A8,7550.0,003100
71,GOOGLE *SERVICES           C0,2000.0,0000000000
72,ITAM MU                    C8,1167200.0,001000
73,CHOCOLATE MOLINIL          A8,52500.0,03630
74,REST DELI CAFE             A5,3700.0,0000052740
75,CLIP MX* ENTRETEN          A8,25000.0,02000
76,CAFE PUNTA CIELO           A3,10000.0,003100
77,CITY MARKET PILAR          A3,64380.0,0003100
78,VS TELCEL 0180012          C6,50258.0,06500
79,CAFE DEL ARBOL             A8,24150.0,04250
80,COLEGIO AMSTERDAM          C6,582120.0,04240
81,PAYPAL                     C6,1200.0,006500
82,SUSHI N GON                A8,83300.0,03240
83,LA PAUSE                   A3,27900.0,0004010
84,SAMS UNIVERSIDAD           A8,311480.0,003310
85,00010520000,150000.0,
86,OXXO PROVIDENCIA           A8,9000.0,003100
87,00009060000,190000.0,
88,JUMP IN SUC MIRAM          A3,94000.0,004650
89,STARBUCKS PQE TOR          A8,20400.0,053390
90,GAS CONXO 1                A5,62490.0,003800
91,UdemyUS                    C1,16000.0,94107137&
92,HIPER LUMEN DEL V          A8,29500.0,0003100
93,IHOP                       A8,49800.0,03100
94,CROCS STORE O0036          A5,114129.0,78666389&
95,EL GRAN RABANO TA          A8,47900.0,04200
96,BURO DE CREDITO M          C8,5800.0,014210
97,WDTC RESORT PKG I          C0,402658.0,92802137&
98,Amazon Payments            C0,55899.0,98104137&
99,GEORGIE BOY COYOA          A5,129700.0,0000003330
100,00049610000,1742400.0,
101,00503250000,100000.0,
102,TOKS YACATAS               A8,58235.0,003310
103,00099910000,200000.0,
104,BEDBATH&BEYOND D           A3,175500.0,003200
105,MACONDO                    A5,2500.0,0000001080
106,5037/GDF SRIA FINANZAS MU,43100.0,
107,TOKS YACATAS               A8,26193.0,003310
108,SUPERAMA FELIX CU          A8,75480.0,003200
109,NUTRISA CC PERISU          A8,22400.0,004500
110,REST CASA YEYA PA          A5,42700.0,0000003230
111,GDF SRIA FINANZAS          C0,43100.0,006720
112,ART SKY WARDS MAT          A5,50000.0,15740
113,HOSP STA COLETA            A3,35000.0,0003900
114,NETFLIX                    C2,19900.0,03800
115,SUPERAMA POPOCATE          A8,16350.0,003330
116,SANBORN S GAL PAR          A8,32400.0,003230
117,00018490000,200000.0,
118,OXXO SNOB                  A8,3300.0,053960
119,EXTRA K ITAM               A8,7950.0,001080
120,EL PALACIO HIERRO          A5,52196.0,0003330
121,5019/EGLO-COM.NO.ENCONTR.,15000.0,
122,DELI CAFE ITAM             A8,3700.0,01080
123,CAFE KRG                   A3,12300.0,006600
124,1PAYLU*UDEMY               C0,15000.0,03600
125,CAFETERIA NEW MOO          A3,58850.0,004200
126,00043810000,600000.0,
127,00002120000,200000.0,
128,GASOL BP TAXQUENA          A8,64101.0,05349
129,CMX FELIX CUEVAS           A8,24900.0,003100
130,AEROMEXICO H2H             A8,200000.0,0006500
131,HIPODROMO AGUA CA          C0,150000.0,22420
132,MERENDERO LAS LUP          A8,47300.0,04000
133,LA PARROQUIA               A3,42800.0,001030
134,EL GLOBO COYOACAN          A5,39000.0,0000003100
135,VIPS TAXQUENA              A8,39000.0,004310
136,EL GLOBO PARROQUI          A3,38500.0,003230
137,00041340000,200000.0,
138,CAFE KRG                   A3,19000.0,006600
139,LIVERPOOL INSURGE          A8,69800.0,003100
140,LA ARTESA                  A3,11600.0,003240
141,TRANS VISION BIKE          A5,1199900.0,03240
142,FARM SAN PABLO             A8,109650.0,003240
143,SEGBBVABCOMERMU            C0,915605.0,011000
144,CINEPOLIS DULCERI          A5,15000.0,0058270
145,F AHORRO MXGN GAN          A5,11600.0,0009819
146,OXXO VALENCIA              A8,5300.0,003920
147,5019/ITAM MU,1317600.0,
148,C,2000.0,
149,00503230000,0.0,7436072984
150,VIPS FELIX CUEVAS          A8,50800.0,003100
151,SUPER CENTER FELI          A8,124393.0,003100
152,REST DOLCE MARIA           A3,45600.0,0003104
153,00087840000,200000.0,
154,EXTRA K PGR COYOA          A8,1800.0,003104
155,PASTELERIA ALCAZA          A8,17300.0,03800
156,Udemy                      C1,13500.0,94107137&
157,SUPERAMA FELIX CU          A8,346944.0,003200
158,HOOTERS LA DIANA           A3,281710.0,0006500
159,URBAN LOOK                 A5,57000.0,0000008810
160,A,104170.0,011320
161,00551450000,250000.0,
162,LA COMER INSURGEN          A3,162680.0,0003900
163,GASOL BP FELIX CU          A8,101380.0,22206
164,GAS PARADOR COVAD          A5,60000.0,62510
165,BURGER KING COPIL          A8,47100.0,004310
166,CK LIEJA                   A8,5200.0,006600
167,HOTEL CASA LAKYUM          A3,391170.0,029960
168,BELLA SONRISA              A3,240000.0,008500
169,COLEGIO AMSTERDAM          C6,554400.0,04240
170,GASOL COGASA               A8,107156.0,11590
171,NETFLIX COM 1              C6,19900.0,003800
172,00551440000,200000.0,
173,WAL MART TAXQUENA          A8,73600.0,001070
174,REST CASA ABUELOS          A5,31600.0,0000003910
175,STARBUCKS TLACOQU          A8,10400.0,003200
176,PAST ELIZONDO FEL          A8,12400.0,03200
177,PIZZA AMORE CITY           A8,23000.0,03300
178,CINEPOLIS KIOSCO           A5,18600.0,0058270
179,OXXO PRADO CHURUB          A8,6750.0,004230
180,OXXOMERCADO TLACO          A8,950.0,003100
181,GOOGLE *SERVICES           C0,2000.0,0000000000
182,ITAM MU                    C8,1700000.0,001000
183,REST DELI CAFE             A5,3700.0,0000052740
184,CITY MARKET PILAR          A3,26183.0,0003100
185,VS TELCEL 0180012          C6,50138.0,06500
186,00023000000,150000.0,
187,C,1200.0,006500
188,HAPPY SWIM SCHOOL          A8,136000.0,03100
189,LA PAUSE                   A3,57200.0,0004010
190,SAMS UNIVERSIDAD           A8,174558.0,003310
191,00010520000,250000.0,
192,OXXO PROVIDENCIA           A8,9650.0,003100
193,GAS CONXO 1                A3,78051.0,003800
194,HIPER LUMEN DEL V          A8,73090.0,0003100
195,DELI CAFE ITAM             A8,3900.0,01080
196,00503230000,800000.0,
197,HY CITE MEXICO CI          C0,800000.0,0045134
198,MARISQUERIA VIDA           A3,90640.0,003100
199,00503250000,200000.0,
200,BEDBATH&BEYOND D           A3,71800.0,003200
201,MACONDO                    A5,2000.0,0000001080
202,TOKS YACATAS               A8,55000.0,003310
203,SUPERAMA FELIX CU          A8,85717.0,003200
204,GDF SRIA FINANZAS          C0,52900.0,006720
205,HOSP STA COLETA            A3,30000.0,0003900
206,NETFLIX                    C2,19900.0,03800
207,SUPERAMA POPOCATE          A8,39122.0,003330
208,EXTRA K ITAM               A8,4650.0,001080
209,EL PALACIO HIERRO          A5,438168.0,0003330
210,DELI CAFE ITAM             A8,3700.0,01080
211,CAFETERIA NEW MOO          A3,59225.0,004200
212,00043810000,600000.0,
